Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
Piso en alquiler en Calle del Poeta Esteban de Villegas,Jerónimos (Distrito Retiro. Madrid Capital),2.150,154,Anuncio actualizado el 25/10/2024,,,Alquiler,154 m²,120 m²,3,2,,Entre 30 y 50 años,Reformado,4524622-M-136,4ª,,,,
Piso en alquiler en Calle de Mauricio Legendre,Castilla (Distrito Chamartín. Madrid Capital),1.600,82,Anuncio actualizado el 23/10/2024,Consumo:248 kWh/m² año,Emisiones:52 Kg CO₂/m² año,Alquiler,82 m²,75 m²,2,1,,Más de 50 años,En buen estado,4519083-2262931,2ª,,,,
Piso en alquiler en Calle de Alcalá,Goya (Distrito Salamanca. Madrid Capital),2.350,112,Anuncio actualizado el 28/10/2024,,,Alquiler,112 m²,108 m²,2,2,,Más de 50 años,En buen estado,4526198-000041,6ª,,,,
Piso en alquiler en Calle de Ferrer del Río,Guindalera (Distrito Salamanca. Madrid Capital),3.000,141,Anuncio actualizado el 26/10/2024,,,Alquiler,141 m²,117 m²,4,3,,Más de 50 años,En buen estado,4400-22539,5ª,Incluidos,,,
Piso en alquiler en Calle de Salvador Almela Navarro,Centro-La Estación-Prado de La Laguna (San Lorenzo de El Escorial),1.450,199,Anuncio actualizado el 27/10/2024,Consumo:124 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,199 m²,180 m²,4,2,,Entre 20 y 30 años,,SA3830-LODON-00703/9281,1ª,,,,
Casa pareada en alquiler en Calle del Camino Nuevo,El Soto de la Moraleja (La Moraleja),3.600,160,Anuncio actualizado el 24/10/2024,,,Alquiler,160 m²,,4,3,Pareada,,Reformado,SA2106-CR515,,,,,
"Piso en alquiler en Calle Mayor, cerca de Calle Postas",Sol (Distrito Centro. Madrid Capital),3.600,167,Anuncio actualizado el 21/10/2024,,,Alquiler,167 m²,145 m²,4,3,,Más de 50 años,,SA4389-MC03400/9935,4ª,,,,
Ático en alquiler en Calle de Colón,Universidad-Malasaña (Distrito Centro. Madrid Capital),2.200,90,Anuncio actualizado el 20/09/2024,Consumo:321 kWh/m² año,Emisiones:66 Kg CO₂/m² año,Alquiler,90 m²,87 m²,4,2,,Más de 50 años,,SA515-1237A628/1084,4ª,,,,
"Apartamento en alquiler en Calle de Ríos Rosas, cerca de Calle de Ponzano",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.800,143,Anuncio actualizado el 28/10/2024,,,Alquiler,143 m²,121 m²,4,2,,Más de 50 años,En buen estado,1492-426307,6ª,,,,
"Piso en alquiler en Calle de Núñez de Balboa, 95, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),1.500,70,Anuncio actualizado el 23/10/2024,,,Alquiler,70 m²,65 m²,2,1,,,En buen estado,SA4883-103711472,,,,,
Piso en alquiler en Casco Urbano,Centro (Villaviciosa de Odón),1.100,67,Anuncio actualizado el 24/10/2024,,,Alquiler,67 m²,60 m²,1,1,,,Reformado,INB178-4433,1ª,,,,
"Apartamento en alquiler en Calle de Alcántara, cerca de Calle de Francisco Silvela",Lista (Distrito Salamanca. Madrid Capital),1.000,49,Anuncio actualizado el 27/10/2024,Consumo:300 kWh/m² año,Emisiones:300 Kg CO₂/m² año,Alquiler,49 m²,40 m²,,1,,Más de 50 años,Reformado,SA193-1005,1ª,,,,
"Apartamento en alquiler en Calle del Olivar, 17, cerca de Calle de San Carlos",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.100,50,Anuncio actualizado el 21/10/2024,Consumo:357 kWh/m² año,Emisiones:75 Kg CO₂/m² año,Alquiler,50 m²,50 m²,1,1,,,Reformado,4992099-2021,4ª,,,,
Piso en alquiler en Calle de Luisa Muriel,Cármenes (Distrito Latina. Madrid Capital),1.400,80,Anuncio actualizado el 07/10/2024,,,Alquiler,80 m²,75 m²,3,2,,Entre 20 y 30 años,En buen estado,4523960-1483-24,2ª,,,,
"Estudio en alquiler en Calle de Fernando 'El Católico', 30, cerca de Callejón de Blasco de Garay",Arapiles (Distrito Chamberí. Madrid Capital),1.000,32,Anuncio actualizado el 26/10/2024,,,Alquiler,32 m²,30 m²,,1,,,En buen estado,SA5426-0203,,,,,
Piso en alquiler en Calle de Alfonso XII,Jerónimos (Distrito Retiro. Madrid Capital),11.000,390,Anuncio actualizado el 28/10/2024,Consumo:104 kWh/m² año,Emisiones:53 Kg CO₂/m² año,Alquiler,390 m²,,3,4,,Más de 50 años,En buen estado,IF5271-263,2ª,,,,
"Piso en alquiler en Calle de López de Hoyos, cerca de Calle del General Oráa",Castellana (Distrito Salamanca. Madrid Capital),1.200,45,Anuncio actualizado el 03/10/2024,,,Alquiler,45 m²,40 m²,1,1,,Entre 30 y 50 años,En buen estado,SA4633-BMIRE-480,,,,,
Piso en alquiler en Calle de Emilio Vargas,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),2.700,174,Anuncio actualizado el 25/10/2024,,,Alquiler,174 m²,150 m²,5,3,,,,AF16-1543/545,,,,,
Apartamento en alquiler en Calle de Algete,Legazpi (Distrito Arganzuela. Madrid Capital),1.061,54,Anuncio actualizado el 17/09/2024,,,Alquiler,54 m²,54 m²,1,1,,,En buen estado,4518087-BARRILERO3,4ª,,,,
Piso en alquiler en El Viso,Justicia-Chueca (Distrito Centro. Madrid Capital),8.450,576,Anuncio actualizado el 23/10/2024,,,Alquiler,576 m²,,6,5,,,,GM19-193730,,,,Exterior,
"Piso en alquiler en Bulevar de Salvador Allende, 15",Centro (Alcobendas),1.500,113,Anuncio actualizado el 24/10/2024,,,Alquiler,113 m²,80 m²,2,2,,Menos de 5 años,En buen estado,SA5426-0215,4ª,,,,
Piso en alquiler en Calle de Gabriel Lobo,El Viso (Distrito Chamartín. Madrid Capital),2.300,110,Anuncio actualizado el 22/10/2024,,,Alquiler,110 m²,107 m²,3,2,,,Reformado,4500039-000002,Entresuelo,,,,
"Apartamento en alquiler en Calle de Cavanilles, cerca de Calle de Sánchez Barcáiztegui",Pacífico (Distrito Retiro. Madrid Capital),1.350,65,Anuncio actualizado el 28/10/2024,,,Alquiler,65 m²,,2,,,,,AF85-1524/750,,,,,
Piso en alquiler en Calle de Venus,Zona Suroeste (Torrejón de Ardoz),1.150,105,Anuncio actualizado el 28/10/2024,,,Alquiler,105 m²,95 m²,2,2,,Entre 10 y 20 años,Reformado,4513233-078207,Bajo,,,,
"Piso en alquiler en Avenida de Juan Andrés, cerca de Calle de la Isla de Nelson",Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),1.200,73,Anuncio actualizado el 24/10/2024,,,Alquiler,73 m²,64 m²,2,1,,Más de 50 años,,SA2049-31730/7506,6ª,,,,
"Piso en alquiler en Calle de Blasco de Garay, cerca de Calle de Fernández de los Ríos",Arapiles (Distrito Chamberí. Madrid Capital),1.400,58,Anuncio actualizado el 27/10/2024,,,Alquiler,58 m²,,2,2,,,En buen estado,SA1796-alq10-11mesesblascogaray,1ª,,,,
"Piso en alquiler en Calle de Francisco Silvela, 65, cerca de Calle de Diego de León",Lista (Distrito Salamanca. Madrid Capital),2.200,73,Anuncio actualizado el 24/10/2024,Consumo:999 kWh/m² año,Emisiones:999 Kg CO₂/m² año,Alquiler,73 m²,64 m²,2,2,,Menos de 5 años,En buen estado,SA3124-1193 FRANCISCO SILVELA,3ª,,,,
Piso en alquiler en Calle de Cristóbal Bordiú,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.100,37,Anuncio actualizado el 28/10/2024,,,Alquiler,37 m²,28 m²,1,1,,Más de 50 años,En buen estado,STA39-RP1132024131448,,,,,
"Piso en alquiler en Calle del Duque de Tovar, 11",Imperial (Distrito Arganzuela. Madrid Capital),3.000,130,Anuncio actualizado el 22/10/2024,Consumo:14 kWh/m² año,Emisiones:2 Kg CO₂/m² año,Alquiler,130 m²,120 m²,3,2,,Menos de 5 años,A estrenar,4528946-000005,2ª,,,,
Loft en alquiler en Calle de los Ciruelos,Vega de la Moraleja (San Sebastián de los Reyes),1.300,90,Anuncio actualizado el 23/10/2024,,,Alquiler,90 m²,85 m²,2,1,,Menos de 5 años,En buen estado,4526640-000016,Bajo,,,,
"Piso en alquiler en Paseo de las Delicias, cerca de Calle de Ciudad Real",Delicias (Distrito Arganzuela. Madrid Capital),1.200,40,Anuncio actualizado el 28/10/2024,,,Alquiler,40 m²,38 m²,2,1,,Más de 50 años,En buen estado,SA3986-Delicias- 5 planta-2d,5ª,,,,
Piso en alquiler en Calle de José Martínez Ruiz Azorín,Espartales (Distrito Ensanche-Espartales. Alcalá de Henares),1.200,112,Anuncio actualizado el 24/10/2024,,,Alquiler,112 m²,,3,2,,,,IF76234-5459,2ª,,,,
Piso en alquiler en Calle del Padre Damián,Hispanoamérica (Distrito Chamartín. Madrid Capital),2.050,114,Anuncio actualizado el 28/09/2024,Consumo:144 kWh/m² año,Emisiones:28 Kg CO₂/m² año,Alquiler,114 m²,90 m²,2,2,,Entre 30 y 50 años,En buen estado,SA92-105262/EV,7ª,,,,
Piso en alquiler en Retiro,Niño Jesús (Distrito Retiro. Madrid Capital),3.200,181,Anuncio actualizado el 28/10/2024,,,Alquiler,181 m²,136 m²,4,3,,,Reformado,EP740-3566,,,,,
"Piso en alquiler en Avenida de Nazaret, 9",Niño Jesús (Distrito Retiro. Madrid Capital),2.400,96,Anuncio actualizado el 04/10/2024,,,Alquiler,96 m²,95 m²,2,2,,,,IFC75943-PIS_680,,,,,
"Piso en alquiler en Calle del Cerro de la Carrasqueta, cerca de Calle del Valle de Pinares Llanos",Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),1.700,135,Anuncio actualizado el 22/10/2024,,,Alquiler,135 m²,90 m²,3,2,,Entre 20 y 30 años,Reformado,4520609-000029,3ª,,,,Da dentro de la urbanización
Ático en alquiler en Calle Cava Baja,Palacio (Distrito Centro. Madrid Capital),1.690,90,Anuncio actualizado el 28/10/2024,,,Alquiler,90 m²,83 m²,1,1,,Más de 50 años,En buen estado,SA2643-MYO_106261363,5ª,,,,
Dúplex en alquiler en Calle de Tremp,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),2.500,196,Anuncio actualizado el 26/10/2024,,,Alquiler,196 m²,190 m²,4,3,,Entre 10 y 20 años,En buen estado,SA3100-IS658,,,,,
"Piso en alquiler en Calle Teleferico de las Canteras, 2",El Cañaveral (Distrito Vicálvaro. Madrid Capital),1.480,145,Anuncio actualizado el 24/10/2024,Consumo:93 kWh/m² año,Emisiones:19 Kg CO₂/m² año,Alquiler,145 m²,,4,2,,,A estrenar,4526851-21049663,,,,,
Piso en alquiler en Calle de Fernando 'El Católico',Gaztambide (Distrito Chamberí. Madrid Capital),1.500,52,Anuncio actualizado el 25/10/2024,Consumo:194 kWh/m² año,Emisiones:41 Kg CO₂/m² año,Alquiler,52 m²,49 m²,2,1,,Más de 50 años,En buen estado,SA3318-3452-01080,3ª,,,,
"Piso en alquiler en Calle de Juan de Jáuregui, 1",Niño Jesús (Distrito Retiro. Madrid Capital),1.750,125,Anuncio actualizado el 28/10/2024,,,Alquiler,125 m²,88 m²,3,1,,Más de 50 años,En buen estado,SA5588-VIL54,2ª,,,,
"Estudio en alquiler en Calle de Lope de Rueda, 47, cerca de Calle de Ibiza",Ibiza (Distrito Retiro. Madrid Capital),1.500,59,Anuncio actualizado el 23/10/2024,,,Alquiler,59 m²,54 m²,,1,,Más de 50 años,,SA5061-00125/11014,1ª,,,,
Piso en alquiler en Avenida de Alberto Alcocer,Nueva España (Distrito Chamartín. Madrid Capital),4.300,208,Anuncio actualizado el 25/10/2024,,,Alquiler,208 m²,,3,2,,,En buen estado,EP926-13593,4ª,,,,
Loft en alquiler en Calle de Albarracín,Simancas (Distrito San Blas. Madrid Capital),1.300,50,Anuncio actualizado el 24/10/2024,Consumo:341 kWh/m² año,Emisiones:71 Kg CO₂/m² año,Alquiler,50 m²,30 m²,1,1,,Más de 50 años,A estrenar,4991170-AL2080,Bajo,,,,
"Loft en alquiler en Calle de Las Navas de Tolosa, 9",Sol (Distrito Centro. Madrid Capital),3.700,205,Anuncio actualizado el 18/04/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,205 m²,205 m²,2,3,,Más de 50 años,En buen estado,4527206-NAV9,1ª,,,,
"Piso en alquiler en Calle de Luis Martínez Feduchi, 142",Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),2.100,140,Anuncio actualizado el 26/09/2024,,,Alquiler,140 m²,130 m²,3,2,,Menos de 5 años,En buen estado,4991150-000029,1ª,,,,
"Piso en alquiler en Calle de Alcántara, cerca de Calle de Francisco Silvela",Lista (Distrito Salamanca. Madrid Capital),1.400,49,Anuncio actualizado el 25/10/2024,,,Alquiler,49 m²,45 m²,2,1,,,A estrenar,3623-199357,3ª,,,,
Piso en alquiler en Plaza de la Condesa de Gavia,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1.150,50,Anuncio actualizado el 04/10/2024,,,Alquiler,50 m²,,1,1,,Más de 50 años,A estrenar,TC943-595575,,,,,
Piso en alquiler en Calle de Géminis,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),1.150,52,Anuncio actualizado el 16/10/2024,Consumo:41 kWh/m² año,Emisiones:8 Kg CO₂/m² año,Alquiler,52 m²,47 m²,1,1,,Menos de 5 años,A estrenar,SA5077-GEMINIS,1ª,,,,
"Piso en alquiler en Calle de Cea Bermúdez, 20, cerca de Calle Vallehermoso",Vallehermoso (Distrito Chamberí. Madrid Capital),1.800,72,Anuncio actualizado el 28/10/2024,Consumo:304 kWh/m² año,Emisiones:64 Kg CO₂/m² año,Alquiler,72 m²,65 m²,3,3,,,,AG376-AP0013,,,,,
Piso en alquiler en Calle de Juan de Mena,Jerónimos (Distrito Retiro. Madrid Capital),3.550,112,Anuncio actualizado el 25/10/2024,,,Alquiler,112 m²,97 m²,2,2,,Más de 50 años,En buen estado,SA4290-105959382,5ª,,,,
Piso en alquiler en Calle de Garci-Nuño,Valdeacederas (Distrito Tetuán. Madrid Capital),1.290,55,Anuncio actualizado el 18/09/2024,,,Alquiler,55 m²,,2,1,,Más de 50 años,,IF76754-garci nuño,,,,,
Estudio en alquiler en Avenida de Manoteras,Virgen del Cortijo-Manoteras (Distrito Hortaleza. Madrid Capital),950,55,Anuncio actualizado el 23/10/2024,,,Alquiler,55 m²,50 m²,1,1,,,,NI485-1180,2ª,,,,
"Piso en alquiler en Calle de Gabriela Mistral, 12",Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),2.200,123,Anuncio actualizado el 04/09/2024,Consumo:200 kWh/m² año,Emisiones:40 Kg CO₂/m² año,Alquiler,123 m²,90 m²,3,2,,,,SA5387-1512-136/11124,3ª,,,,
Piso en alquiler en Calle de Churruca,Justicia-Chueca (Distrito Centro. Madrid Capital),1.300,43,Anuncio actualizado el 16/08/2024,,,Alquiler,43 m²,,1,1,,,En buen estado,SA3163-101008616M,2ª,,,,
Piso en alquiler en Paseo de San Illán,San Isidro (Distrito Carabanchel. Madrid Capital),1.400,65,Anuncio actualizado el 22/10/2024,,,Alquiler,65 m²,60 m²,2,1,,,A estrenar,4516127-000539,Bajo,,,,
"Ático en alquiler en Calle de San Pedro, 6",Cortes-Huertas (Distrito Centro. Madrid Capital),850,48,Anuncio actualizado el 25/10/2024,Consumo:180 kWh/m² año,Emisiones:95 Kg CO₂/m² año,Alquiler,48 m²,44 m²,1,1,,Más de 50 años,,SA5559-MTPIS_137/11900,4ª,,,,
Loft en alquiler en Avenida Camino de Lo Cortao,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),950,60,Anuncio actualizado el 25/10/2024,,,Alquiler,60 m²,48 m²,2,1,,Menos de 5 años,A estrenar,4521139-000015,Principal,,,,
Piso en alquiler en Calle del Majuelo,Acacias (Distrito Arganzuela. Madrid Capital),1.500,98,Anuncio actualizado el 02/10/2024,Consumo:176 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,98 m²,,2,2,,Entre 20 y 30 años,En buen estado,TC40-487101,,,,,
"Piso en alquiler en Calle de Guillermo de Osma, 27",Chopera (Distrito Arganzuela. Madrid Capital),1.300,49,Anuncio actualizado el 28/10/2024,,,Alquiler,49 m²,,1,1,,Más de 50 años,,EP805-1181,Bajo,,,,
Piso en alquiler en Calle del General Arrando,Almagro (Distrito Chamberí. Madrid Capital),2.000,110,Anuncio actualizado el 16/10/2024,,,Alquiler,110 m²,,3,2,,,,XA785-510054,,,,,
Ático en alquiler en Calle de Juanelo,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),700,11,Anuncio actualizado el 02/10/2024,,,Alquiler,11 m²,,,1,,Más de 50 años,,IF76741-juanelo alquiler,4ª,,,,
"Estudio en alquiler en Calle de Diego de León, cerca de Calle de Claudio Coello",Castellana (Distrito Salamanca. Madrid Capital),1.350,35,Anuncio actualizado el 20/10/2024,,,Alquiler,35 m²,,,1,,,En buen estado,XA633-5856,,,,,
Piso en alquiler en Chamartin,Castilla (Distrito Chamartín. Madrid Capital),1.700,70,Anuncio actualizado el 28/10/2024,,,Alquiler,70 m²,,2,1,,,,SA768-01360/2151,1ª,,,,
Piso en alquiler en Calle del Monte Esquinza,Almagro (Distrito Chamberí. Madrid Capital),1.490,65,Anuncio actualizado el 22/10/2024,,,Alquiler,65 m²,55 m²,1,1,,Más de 50 años,,SA3035-06641/7621,Bajo,,,,
"Piso en alquiler en Plaza de la Madre Teresa de Calcuta, 8",Európolis-Montecillo-Navalcarbón (Las Rozas de Madrid),1.990,120,Anuncio actualizado el 18/10/2024,,,Alquiler,120 m²,,3,2,,,En buen estado,IF6199-4321-B,,,,,
"Estudio en alquiler en Calle de la Jacaranda, 10, cerca de Calle de Alpedrete",Atocha (Distrito Arganzuela. Madrid Capital),1.000,45,Anuncio actualizado el 28/10/2024,,,Alquiler,45 m²,,,1,,,A estrenar,4528721-21340843,,,,,
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),1.000,63,Anuncio actualizado el 21/10/2024,,,Alquiler,63 m²,,2,2,,,A estrenar,4528991-21490403,1ª,,,,
Casa adosada en alquiler en Calle Guadiana,Estación-Zona Norte (Pozuelo de Alarcón),2.900,235,Anuncio actualizado el 24/10/2024,,,Alquiler,235 m²,,5,4,Adosada,,En buen estado,XA856-1022,,,,,
"Piso en alquiler en Valdemoro, Zona de - Zona Estación",Estación (Valdemoro),1.000,71,Anuncio actualizado el 24/10/2024,,,Alquiler,71 m²,57 m²,2,2,,Menos de 5 años,En buen estado,STA37-RP1952024131557,,,,,
"Piso en alquiler en Calle Lagasca, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),4.150,203,Anuncio actualizado el 19/09/2024,Consumo:234 kWh/m² año,Emisiones:48 Kg CO₂/m² año,Alquiler,203 m²,176 m²,5,5,,Más de 50 años,En buen estado,4995410-LA-5,5ª,,,,
Piso en alquiler en Valdezarza,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),950,50,Anuncio actualizado el 24/10/2024,,,Alquiler,50 m²,,1,1,,,,IF5032-J. Andrés,6ª,,,,
Piso en alquiler en Casco Antiguo,Casco Antiguo (Torrelodones),1.790,140,Anuncio actualizado el 05/10/2024,Consumo:37 kWh/m² año,Emisiones:7 Kg CO₂/m² año,Alquiler,140 m²,130 m²,3,3,,,,AG105-GM232,,,,,
Piso en alquiler en Aravaca,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),1.500,90,Anuncio actualizado el 23/10/2024,,,Alquiler,90 m²,,2,1,,,,IF5032-Pza_2dvac,2ª,,,,
Piso en alquiler en Casa de Campo,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),1.200,69,Anuncio actualizado el 18/10/2024,,,Alquiler,69 m²,,1,1,,Más de 50 años,En buen estado,TC52-598503,1ª,,,,
Estudio en alquiler en Calle de Francisco Sancha,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),5.000,119,Anuncio actualizado el 04/08/2024,Consumo:17 kWh/m² año,Emisiones:17 Kg CO₂/m² año,Alquiler,119 m²,101 m²,,2,,Entre 10 y 20 años,En buen estado,SA2470-JC-ShowRoom,1ª,,,,
Casa adosada en alquiler en Colonia,Colonia (Torrelodones),2.490,351,Anuncio actualizado el 20/10/2024,Consumo:98 kWh/m² año,Emisiones:65 Kg CO₂/m² año,Alquiler,351 m²,280 m²,4,7,Adosada,,,AG105-GM229,,,,,
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),4.000,260,Anuncio actualizado el 02/09/2024,,,Alquiler,260 m²,240 m²,6,3,,,,SA5408-TCT-3314A/7481,1ª,,,,
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Bravo Murillo",Trafalgar (Distrito Chamberí. Madrid Capital),2.900,127,Anuncio actualizado el 23/10/2024,Consumo:37 kWh/m² año,Emisiones:7 Kg CO₂/m² año,Alquiler,127 m²,,2,2,,,,IF76602-M20613A,2ª,,,,
"Casa adosada en alquiler en Avenida de los Robles, 72",Los Robles (Torrelodones),2.400,279,Anuncio actualizado el 28/10/2024,Consumo:130 kWh/m² año,Emisiones:27 Kg CO₂/m² año,Alquiler,279 m²,,5,4,Adosada,Entre 20 y 30 años,,SA3830-LODON-00714/9281,,,,,
"Apartamento en alquiler en Calle de Juan Ramón Jiménez, 8",Hispanoamérica (Distrito Chamartín. Madrid Capital),1.800,74,Anuncio actualizado el 24/02/2023,,,Alquiler,74 m²,,1,1,,,,4521170-DE - EUR722- 020719 - AL-86140365,8ª,,,,
"Apartamento en alquiler en Calle de Juan Ramón Jiménez, 8",Hispanoamérica (Distrito Chamartín. Madrid Capital),1.800,76,Anuncio actualizado el 24/02/2023,,,Alquiler,76 m²,,1,1,,,,4521170-DE-EU619-20052020-89427252,6ª,,,,
"Apartamento en alquiler en Avenida de Alberto Alcocer, 12",Hispanoamérica (Distrito Chamartín. Madrid Capital),2.000,74,Anuncio actualizado el 24/02/2023,,,Alquiler,74 m²,,1,1,,,,4521170-DE-EUR- 280519713AL-85663888,7ª,,,,
"Piso en alquiler en Calle de Juan Ramón Jiménez, 8",Castilla (Distrito Chamartín. Madrid Capital),2.200,83,Anuncio actualizado el 24/02/2023,,,Alquiler,83 m²,73 m²,2,2,,,A estrenar,4521170-DE-EU60415042021,6ª,,,,
"Piso en alquiler en Calle de Juan Ramón Jiménez, 8",Castilla (Distrito Chamartín. Madrid Capital),2.000,84,Anuncio actualizado el 16/10/2023,,,Alquiler,84 m²,73 m²,1,1,,Entre 30 y 50 años,A estrenar,4521170-DE-EU41020112020,4ª,,,,
"Apartamento en alquiler en Calle de Juan Ramón Jiménez, 8",Hispanoamérica (Distrito Chamartín. Madrid Capital),2.000,76,Anuncio actualizado el 24/02/2023,,,Alquiler,76 m²,,1,1,,Más de 50 años,En buen estado,4521170-DE-410EU-26052020-89662399,4ª,,,,
Casa en alquiler en El Olivar de Mirabal,El Olivar de Mirabal (Boadilla del Monte),5.000,363,Anuncio actualizado el 26/10/2024,,,Alquiler,363 m²,310 m²,4,5,,Menos de 5 años,,VE22-0051-00586,,,,,
"Piso en alquiler en Calle de Juan Ramón Jiménez, 8",Castilla (Distrito Chamartín. Madrid Capital),2.300,95,Anuncio actualizado el 24/02/2023,,,Alquiler,95 m²,93 m²,2,2,,,En buen estado,4521170-DE-EU402-210720,4ª,,,,
Chalet en alquiler en los Peñascales,Los Peñascales (Torrelodones),2.400,290,Anuncio actualizado el 27/10/2024,,,Alquiler,290 m²,275 m²,3,3,,,,AG105-GM033,,,,,
Piso en alquiler en Calle de Andrés Torrejón,Jerónimos (Distrito Retiro. Madrid Capital),2.700,199,Anuncio actualizado el 18/09/2024,,,Alquiler,199 m²,170 m²,3,2,,Más de 50 años,En buen estado,SA2646-DR.A233,7ª,,,,
Piso en alquiler en Boadilla del Monte,Sector B (Boadilla del Monte),1.850,117,Anuncio actualizado el 19/10/2024,Consumo:206 kWh/m² año,Emisiones:43 Kg CO₂/m² año,Alquiler,117 m²,,4,2,,Entre 20 y 30 años,,LF151-DJ1451,,,,,
